機台名稱,Datatime,工卡號,F_DORDER_ID,F_SEQ,F_COLOR_SEQ,F_PROD_ID,F_BATCH_ID,F_COLOR_CHI,F_LAB_ID,F_COLOR_ID,F_COLOR_ENG,F_COLOR_ARGB,COLOR_FLAG,F_UNIT,F_UNIT_P,Process,主機速度,冷風轉速1,冷風轉速2,烘箱轉速1,烘箱轉速2,烘箱轉速3,烘箱轉速4,烘箱轉速5,烘箱轉速6,烘箱轉速7,烘箱轉速8,烘箱溫度1,烘箱溫度2,烘箱溫度3,烘箱溫度4,烘箱溫度5,烘箱溫度6,烘箱溫度7,烘箱溫度8,烘箱溫度設定1,烘箱溫度設定2,烘箱溫度設定3,烘箱溫度設定4,烘箱溫度設定5,烘箱溫度設定6,烘箱溫度設定7,烘箱溫度設定8,排風轉速1,排風轉速2,排風濕度,含水率,總耗電,Thermal_Temper_NW,Thermal_Temper_N,Thermal_Temper_NE,Thermal_Temper_W,Thermal_Temper_C,Thermal_Temper_E,Thermal_Temper_SW,Thermal_Temper_S,Thermal_Temper_SE,Thermal_Temper_avg,Thermal_uniformity,Therma_Spot1_Temper,Thermal_Spot1_Temper_min,Thermal_Spot1_Temper_avg,Thermal_Spot1_Temper_max,Thermal_Full_min,Thermal_Full_avg,Thermal_Full_max,幅寬,碼重,布種規格
1,2021/4/27 22:29:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.39999962,5,5,1800,1756,1793,1800,1800,1792,1800,1537,168,170,171,171,171,171,170,168,168,170,171,171,171,171,170,168,1790,1777,,2.399880171,101,87.55000305,88.4509964,89.66899872,86.04799652,87.37999725,88.14700317,85.1210022,86.18599701,86.41400146,87.21800232,0.938000023,0,84.12400055,87.20700073,89.92900085,89.92900085,89.92900085,89.92900085,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:30:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.5,5,5,1800,1757,1793,1800,1800,1791,1800,1537,168,170,170,170,171,170,170,168,168,170,170,170,171,170,170,168,1790,1777,,2.399880171,101,90.22100067,88.76000214,88.98699951,87.91799927,87.1190033,88.05500031,86.42199707,86.4960022,86.8690033,87.87200165,0.949000001,0,85.83399963,88.03399658,90.70700073,90.70700073,90.70700073,90.70700073,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:31:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.5,5,5,1800,1757,1793,1800,1800,1791,1800,1536,168,170,170,170,171,170,170,169,168,170,170,170,171,170,170,169,1790,1777,,2.399880171,100,90.28600311,87.29799652,87.9260025,88.50800323,86.0719986,86.69799805,86.91400146,85.13700104,85.68000031,87.16899872,0.925999999,0,84.5039978,86.8690033,90.8769989,90.8769989,90.8769989,90.8769989,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:32:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.39999962,5,5,1800,1757,1793,1800,1800,1791,1800,1536,168,170,170,170,170,170,170,169,168,170,170,170,170,170,170,169,1790,1777,,2.399880171,101,91.25299835,90.99900055,88.89800262,88.91899872,88.84200287,88.54299927,87.61499786,87.94000244,86.93800354,88.88300323,0.940999985,0,86.52500153,88.90899658,91.64499664,91.64499664,91.64499664,91.64499664,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:33:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.39999962,5,5,1800,1757,1792,1800,1800,1791,1800,1538,167,170,170,170,170,170,170,169,167,170,170,170,170,170,170,169,1790,1777,,2.399880171,101,91.68499756,88.91699982,87.51200104,89.20300293,87.75499725,87.0019989,87.76100159,85.81300354,85.28399658,87.88200378,0.912,0,85.125,87.91100311,92.36499786,92.36499786,92.36499786,92.36499786,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:34:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.5,5,5,1800,1757,1793,1800,1800,1792,1800,1537,168,170,170,170,170,170,170,169,168,170,170,170,170,170,170,169,1790,1777,,2.399880171,101,91.00800323,90.72899628,89.93299866,88.20200348,88.71099854,88.86100006,87.09300232,87.66899872,87.40299988,88.84500122,0.95599997,0,86.73000336,88.89199829,91.45899963,91.45899963,91.45899963,91.45899963,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:35:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.39999962,5,5,1800,1757,1792,1800,1800,1791,1800,1536,168,170,170,170,170,170,170,169,168,170,170,170,170,170,170,169,1790,1777,,2.399880171,101,91.20200348,90.09300232,89.13700104,89.42199707,88.55699921,87.7539978,86.99700165,87.36699677,86.76000214,88.58799744,0.934000015,0,86.67299652,88.81900024,91.58999634,91.58999634,91.58999634,91.58999634,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:36:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.39999962,5,5,1800,1757,1792,1800,1800,1791,1800,1537,168,170,170,170,170,170,170,169,168,170,170,170,170,170,170,169,1790,1777,,2.399880171,101,91.81500244,91.45600128,91.29499817,90.51300049,89.8730011,88.59799957,89.68299866,88.63500214,87.23000336,89.90000153,0.921000004,0,87.39900208,89.86599731,92.40100098,92.40100098,92.40100098,92.40100098,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:37:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.39999962,5,5,1800,1756,1792,1800,1800,1792,1800,1537,168,170,170,170,170,170,170,169,168,170,170,170,170,170,170,169,1790,1777,,2.399880171,101,92.64700317,89.86100006,88.21499634,90.29000092,87.56099701,86.14900208,88.61299896,85.55899811,84.88400269,88.19799805,0.908999979,0,84.38200378,88.55799866,93.09200287,93.09200287,93.09200287,93.09200287,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:38:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.39999962,5,5,1800,1756,1792,1800,1800,1791,1800,1537,167,170,170,170,170,170,170,169,167,170,170,170,170,170,170,169,1790,1777,,2.399880171,101,90.90599823,86.8030014,88.2519989,88.52700043,86.46900177,87.49500275,87.11000061,86.44400024,85.88500214,87.54299927,0.931999981,0,84.68199921,87.18199921,91.52100372,91.52100372,91.52100372,91.52100372,57,191,MF20-A/N/70D*320D無光NO PEACH
